number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
35,21.96133846274252,2026-07-07 21:35:20.560248,2026-07-07 21:35:24.323679,0 days 00:00:03.763431,0.8,0.05,3,5,500,0.0,10.0,0.8,COMPLETE
36,21.58660585946315,2026-07-07 21:35:24.324577,2026-07-07 21:35:25.038168,0 days 00:00:00.713591,0.6,0.3,4,3,50,0.1,10.0,1.0,COMPLETE
37,20.568304812356313,2026-07-07 21:35:25.039000,2026-07-07 21:35:26.318728,0 days 00:00:01.279728,0.8,0.01,2,3,200,0.0,1.0,1.0,COMPLETE
38,19.836689248640393,2026-07-07 21:35:26.319438,2026-07-07 21:35:27.880843,0 days 00:00:01.561405,0.6,0.05,6,5,100,1.0,10.0,0.8,COMPLETE
39,24.402975423356743,2026-07-07 21:35:27.881541,2026-07-07 21:35:32.091555,0 days 00:00:04.210014,0.8,0.1,3,1,500,0.1,0.1,1.0,COMPLETE
40,20.924884243998413,2026-07-07 21:35:32.092215,2026-07-07 21:35:32.516965,0 days 00:00:00.424750,1.0,0.05,2,3,50,0.0,1.0,0.6,COMPLETE
41,19.63600484284634,2026-07-07 21:35:32.517684,2026-07-07 21:35:33.108049,0 days 00:00:00.590365,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
42,19.63600484284634,2026-07-07 21:35:33.108930,2026-07-07 21:35:33.690321,0 days 00:00:00.581391,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
43,19.63600484284634,2026-07-07 21:35:33.690975,2026-07-07 21:35:34.282408,0 days 00:00:00.591433,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
44,26.58744611698345,2026-07-07 21:35:34.283113,2026-07-07 21:35:34.887372,0 days 00:00:00.604259,0.8,0.01,3,3,50,0.0,10.0,1.0,COMPLETE
45,21.06020900119616,2026-07-07 21:35:34.887977,2026-07-07 21:35:38.208273,0 days 00:00:03.320296,0.8,0.05,6,3,200,0.0,10.0,1.0,COMPLETE
46,19.63600484284634,2026-07-07 21:35:38.208961,2026-07-07 21:35:38.784298,0 days 00:00:00.575337,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
47,23.403254095063584,2026-07-07 21:35:38.784983,2026-07-07 21:35:42.104113,0 days 00:00:03.319130,0.6,0.3,3,1,500,0.1,0.1,0.8,COMPLETE
48,20.29556316391468,2026-07-07 21:35:42.104815,2026-07-07 21:35:42.529275,0 days 00:00:00.424460,0.8,0.1,2,3,50,0.0,10.0,1.0,COMPLETE
49,20.407220146016815,2026-07-07 21:35:42.529942,2026-07-07 21:35:43.095045,0 days 00:00:00.565103,0.8,0.05,3,5,50,1.0,1.0,1.0,COMPLETE
